iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
650,attn,360,259.2911,0.7203,0.7045,1.0342
650,attn_kernel,360,224.6502,0.6240,0.6103,0.8847
650,down_proj,360,22.0140,0.0611,0.0594,0.0635
650,gate_up_proj,360,37.3432,0.1037,0.1014,0.1075
650,mlp,360,67.5686,0.1877,0.1843,0.1935
650,o_proj,360,13.5916,0.0378,0.0369,0.0399
650,qkv_proj,360,14.6186,0.0406,0.0379,0.0727
660,attn,360,259.3444,0.7204,0.7025,1.0199
660,attn_kernel,360,224.7137,0.6242,0.6083,0.8847
660,down_proj,360,22.0385,0.0612,0.0594,0.0645
660,gate_up_proj,360,37.3033,0.1036,0.1014,0.1075
660,mlp,360,67.5594,0.1877,0.1833,0.1925
660,o_proj,360,13.5936,0.0378,0.0369,0.0399
660,qkv_proj,360,14.6115,0.0406,0.0379,0.0707
670,attn,360,260.2271,0.7229,0.7055,1.0373
670,attn_kernel,360,225.4428,0.6262,0.6093,0.8858
670,down_proj,360,22.1880,0.0616,0.0594,0.2038
670,gate_up_proj,360,37.3320,0.1037,0.1014,0.1075
670,mlp,360,67.7161,0.1881,0.1843,0.3287
